Postnummer;Postort;Kontor;Kontorsfîrkortning;Country;Kontorfrk
77010;FREDRIKSBERG;BORLéNGE;BLE;Sweden;BLE
77012;SUNNANSJô;BORLéNGE;BLE;Sweden;BLE
77013;GRANGéRDE;BORLéNGE;BLE;Sweden;BLE
77014;NYHAMMAR;BORLéNGE;BLE;Sweden;BLE
77130;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77131;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77132;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77133;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77134;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77135;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77136;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77140;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77141;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77142;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77143;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77150;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77151;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77152;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77153;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77154;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77155;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77160;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77165;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77190;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77192;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77194;LUDVIKA;BORLéNGE;BLE;Sweden;BLE
77230;GRéNGESBERG;BORLéNGE;BLE;Sweden;BLE
77231;GRéNGESBERG;BORLéNGE;BLE;Sweden;BLE
77232;GRéNGESBERG;BORLéNGE;BLE;Sweden;BLE
77240;GRéNGESBERG;BORLéNGE;BLE;Sweden;BLE
77250;GRéNGESBERG;BORLéNGE;BLE;Sweden;BLE
77270;SAXDALEN;BORLéNGE;BLE;Sweden;BLE
77290;GRéNGESBERG;BORLéNGE;BLE;Sweden;BLE
77294;GRéNGESBERG;BORLéNGE;BLE;Sweden;BLE
77430;AVESTA;BORLéNGE;BLE;Sweden;BLE
77431;AVESTA;BORLéNGE;BLE;Sweden;BLE
77432;AVESTA;BORLéNGE;BLE;Sweden;BLE
77433;AVESTA;BORLéNGE;BLE;Sweden;BLE
77434;AVESTA;BORLéNGE;BLE;Sweden;BLE
77435;AVESTA;BORLéNGE;BLE;Sweden;BLE
77440;AVESTA;BORLéNGE;BLE;Sweden;BLE
77441;AVESTA;BORLéNGE;BLE;Sweden;BLE
77460;AVESTA;BORLéNGE;BLE;Sweden;BLE
77461;AVESTA;BORLéNGE;BLE;Sweden;BLE
77462;AVESTA;BORLéNGE;BLE;Sweden;BLE
77463;AVESTA;BORLéNGE;BLE;Sweden;BLE
77467;HORNDAL;BORLéNGE;BLE;Sweden;BLE
77468;HORNDAL;BORLéNGE;BLE;Sweden;BLE
77491;AVESTA;BORLéNGE;BLE;Sweden;BLE
77492;AVESTA;BORLéNGE;BLE;Sweden;BLE
77493;AVESTA;BORLéNGE;BLE;Sweden;BLE
77497;FORS;BORLéNGE;BLE;Sweden;BLE
77498;HORNDAL;BORLéNGE;BLE;Sweden;BLE
77499;BY KYRKBY;BORLéNGE;BLE;Sweden;BLE
77550;KRYLBO;BORLéNGE;BLE;Sweden;BLE
77551;KRYLBO;BORLéNGE;BLE;Sweden;BLE
77553;KRYLBO;BORLéNGE;BLE;Sweden;BLE
77554;KRYLBO;BORLéNGE;BLE;Sweden;BLE
77570;KRYLBO;BORLéNGE;BLE;Sweden;BLE
