Postnummer,Postort,Kontor,Kontorfrk,Country
11115,STOCKHOLM,STOCKHOLM,STO,Sweden
11120,STOCKHOLM,STOCKHOLM,STO,Sweden
11121,STOCKHOLM,STOCKHOLM,STO,Sweden
11122,STOCKHOLM,STOCKHOLM,STO,Sweden
11123,STOCKHOLM,STOCKHOLM,STO,Sweden
11124,STOCKHOLM,STOCKHOLM,STO,Sweden
11127,STOCKHOLM,STOCKHOLM,STO,Sweden
11128,STOCKHOLM,STOCKHOLM,STO,Sweden
11129,STOCKHOLM,STOCKHOLM,STO,Sweden
11130,STOCKHOLM,STOCKHOLM,STO,Sweden
11131,STOCKHOLM,STOCKHOLM,STO,Sweden
11134,STOCKHOLM,STOCKHOLM,STO,Sweden
11135,STOCKHOLM,STOCKHOLM,STO,Sweden
11136,STOCKHOLM,STOCKHOLM,STO,Sweden
11137,STOCKHOLM,STOCKHOLM,STO,Sweden
11138,STOCKHOLM,STOCKHOLM,STO,Sweden
11139,STOCKHOLM,STOCKHOLM,STO,Sweden
11140,STOCKHOLM,STOCKHOLM,STO,Sweden
11143,STOCKHOLM,STOCKHOLM,STO,Sweden
11144,STOCKHOLM,STOCKHOLM,STO,Sweden
11145,STOCKHOLM,STOCKHOLM,STO,Sweden
11146,STOCKHOLM,STOCKHOLM,STO,Sweden
11147,STOCKHOLM,STOCKHOLM,STO,Sweden
11148,STOCKHOLM,STOCKHOLM,STO,Sweden
11149,STOCKHOLM,STOCKHOLM,STO,Sweden
11151,STOCKHOLM,STOCKHOLM,STO,Sweden
11152,STOCKHOLM,STOCKHOLM,STO,Sweden
11153,STOCKHOLM,STOCKHOLM,STO,Sweden
11156,STOCKHOLM,STOCKHOLM,STO,Sweden
11157,STOCKHOLM,STOCKHOLM,STO,Sweden
11160,STOCKHOLM,STOCKHOLM,STO,Sweden
11161,STOCKHOLM,STOCKHOLM,STO,Sweden
11164,STOCKHOLM,STOCKHOLM,STO,Sweden
11214,STOCKHOLM,STOCKHOLM,STO,Sweden
11215,STOCKHOLM,STOCKHOLM,STO,Sweden
11216,STOCKHOLM,STOCKHOLM,STO,Sweden
11217,STOCKHOLM,STOCKHOLM,STO,Sweden
11218,STOCKHOLM,STOCKHOLM,STO,Sweden
11219,STOCKHOLM,STOCKHOLM,STO,Sweden
11220,STOCKHOLM,STOCKHOLM,STO,Sweden
11221,STOCKHOLM,STOCKHOLM,STO,Sweden
11222,STOCKHOLM,STOCKHOLM,STO,Sweden
11223,STOCKHOLM,STOCKHOLM,STO,Sweden
11224,STOCKHOLM,STOCKHOLM,STO,Sweden
11225,STOCKHOLM,STOCKHOLM,STO,Sweden
11226,STOCKHOLM,STOCKHOLM,STO,Sweden
11227,STOCKHOLM,STOCKHOLM,STO,Sweden
11228,STOCKHOLM,STOCKHOLM,STO,Sweden
11229,STOCKHOLM,STOCKHOLM,STO,Sweden
11230,STOCKHOLM,STOCKHOLM,STO,Sweden
11231,STOCKHOLM,STOCKHOLM,STO,Sweden
11232,STOCKHOLM,STOCKHOLM,STO,Sweden
11233,STOCKHOLM,STOCKHOLM,STO,Sweden
11234,STOCKHOLM,STOCKHOLM,STO,Sweden
11235,STOCKHOLM,STOCKHOLM,STO,Sweden
11236,STOCKHOLM,STOCKHOLM,STO,Sweden
11237,STOCKHOLM,STOCKHOLM,STO,Sweden
11238,STOCKHOLM,STOCKHOLM,STO,Sweden
11239,STOCKHOLM,STOCKHOLM,STO,Sweden
11240,STOCKHOLM,STOCKHOLM,STO,Sweden
11241,STOCKHOLM,STOCKHOLM,STO,Sweden
11242,STOCKHOLM,STOCKHOLM,STO,Sweden
11243,STOCKHOLM,STOCKHOLM,STO,Sweden
11244,STOCKHOLM,STOCKHOLM,STO,Sweden
11245,STOCKHOLM,STOCKHOLM,STO,Sweden
